model_name,file_id,example_index,focus,true_A,model_A,inf_correct,E_FOCUSID,E_INF
gpt-audio,f11,5,1,B,A,0,True,False
gpt-audio,f11,6,1,C,B,0,True,False
gpt-audio,f11,7,1,C,B,0,True,True
gpt-audio,f11,8,1,C,B,0,True,False
gpt-audio,f11,9,1,C,B,0,True,False
gpt-audio,f12,0,1,B,B,1,False,False
gpt-audio,f12,1,1,B,C,0,True,False
gpt-audio,f12,2,1,B,A,0,False,False
gpt-audio,f12,3,2,B,B,1,False,False
gpt-audio,f12,4,2,B,C,0,False,False
gpt-audio,f12,5,2,B,C,0,False,False
gpt-audio,f12,6,2,B,C,0,False,False
gpt-audio,f12,7,2,A,B,0,True,False
gpt-audio,f12,8,2,A,B,0,True,False
gpt-audio,f12,9,2,A,C,0,True,False
gpt-audio,f13,0,2,B,C,0,False,False
gpt-audio,f13,1,2,B,B,1,True,False
gpt-audio,f13,2,2,B,A,0,False,False
gpt-audio,f13,3,2,B,B,1,False,False
gpt-audio,f13,4,2,C,C,1,False,True
gpt-audio,f13,5,2,C,C,1,False,True
gpt-audio,f13,6,2,C,B,0,False,False
gpt-audio,f13,7,2,C,A,0,True,True
